No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Spain 901C,XLX901CL
06,Spain 903D,XLX903DL
07,Spain 909A,XLX909AL
08,Spain 266B,XLX266BL
09,Spain 266Y,XLX266YL
10,Spain 266N,XLX266NL
11,Spain 266A,XLX266AL
12,Spain 901G,XLX901GL
13,Spain 684A,XLX684AL
14,Spain 903C,XLX903CL
15,Spain 025H,XLX025HL
16,Spain 901D,XLX901DL
17,Spain 025A,XLX025AL
18,Spain 266T,XLX266TL
