No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Russia RC1B,XLXRC1BL
06,Russia RUSB,XLXRUSBL
07,Russia 937B,XLX937BL
08,Russia 163A,XLX163AL
09,Russia RC1H,XLXRC1HL
10,Russia 937R,XLX937RL
