No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,United Kingdom 600A,XLX600AL
06,United Kingdom 606B,XLX606BL
07,United Kingdom 248P,XLX248PL
08,United Kingdom 672E,XLX672EL
09,United Kingdom 060A,XLX060AL
10,United Kingdom 606C,XLX606CL
11,United Kingdom 924A,XLX924AL
12,United Kingdom 604M,XLX604ML
13,United Kingdom 084B,XLX084BL
14,United Kingdom 005B,XLX005BL
15,United Kingdom 305D,XLX305DL
16,United Kingdom 922E,XLX922EL
17,United Kingdom 678B,XLX678BL
18,United Kingdom 060D,XLX060DL
19,United Kingdom 600C,XLX600CL
20,United Kingdom 994B,XLX994BL
21,United Kingdom 305A,XLX305AL
22,United Kingdom 922D,XLX922DL
23,United Kingdom 604C,XLX604CL
24,United Kingdom 060F,XLX060FL
25,United Kingdom 604P,XLX604PL
26,United Kingdom 666F,XLX666FL
27,United Kingdom 005G,XLX005GL
28,United Kingdom 248B,XLX248BL
29,United Kingdom 666C,XLX666CL
30,United Kingdom 977D,XLX977DL
31,United Kingdom 005K,XLX005KL
32,United Kingdom 666A,XLX666AL
33,United Kingdom 248X,XLX248XL
34,United Kingdom 248A,XLX248AL
35,United Kingdom 005P,XLX005PL
36,United Kingdom 600B,XLX600BL
37,United Kingdom 005D,XLX005DL
38,United Kingdom 600H,XLX600HL
39,United Kingdom 005W,XLX005WL
