No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,United States 038A,XLX038AL
06,United States 258A,XLX258AL
07,United States 295A,XLX295AL
08,United States 621A,XLX621AL
09,United States 351A,XLX351AL
10,United States 978A,XLX978AL
11,United States 072A,XLX072AL
12,United States 351C,XLX351CL
13,United States 978C,XLX978CL
14,United States 303D,XLX303DL
15,United States 757A,XLX757AL
16,United States 004C,XLX004CL
17,United States 303A,XLX303AL
18,United States 020A,XLX020AL
19,United States 587E,XLX587EL
20,United States 303H,XLX303HL
21,United States 545B,XLX545BL
22,United States 632A,XLX632AL
23,United States 303F,XLX303FL
24,United States 303G,XLX303GL
25,United States 402A,XLX402AL
26,United States 720D,XLX720DL
27,United States 816A,XLX816AL
28,United States 013A,XLX013AL
29,United States ARGS,XLXARGSL
30,United States 689M,XLX689ML
31,United States 625A,XLX625AL
32,United States 469B,XLX469BL
33,United States 303E,XLX303EL
34,United States 004B,XLX004BL
35,United States 037A,XLX037AL
36,United States 980A,XLX980AL
37,United States 059D,XLX059DL
38,United States 043A,XLX043AL
39,United States 004F,XLX004FL
40,United States 000B,XLX000BL
41,United States GUSB,XLXGUSBL
42,United States 351B,XLX351BL
43,United States 020D,XLX020DL
44,United States 978B,XLX978BL
45,United States 059A,XLX059AL
46,United States 104C,XLX104CL
47,United States 313C,XLX313CL
48,United States 327A,XLX327AL
49,United States SATC,XLXSATCL
50,United States 000S,XLX000SL
51,United States GUSS,XLXGUSSL
52,United States 045A,XLX045AL
53,United States 313D,XLX313DL
54,United States 337C,XLX337CL
